site,agent,dap,swfac,turfac,nstres,topwt,grnwt,xlai,ep,totir,rain,runoff,reward,raw_action_amir,real_action_amir,history_action_amir
HL,expert,1.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,2.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,3.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,4.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,5.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,6.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,7.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,8.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,9.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,10.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,11.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,12.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,13.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,14.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,15.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,16.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,17.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,18.0,,,,20.0,0.0,0.0018952720565721393,0.0,0.0,,,20.0,-1.0,0.0,0.0
HL,expert,19.0,,,,20.0,0.0,0.0034287653397768736,0.005312860943377018,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,20.0,,,,20.0,0.0,0.003977622836828232,0.002516270149499178,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,21.0,,,,20.0,0.0,0.004436115734279156,0.004036616999655962,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,22.0,,,,20.0,0.0,0.004812444094568491,0.008164800703525543,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,23.0,,,,20.0,0.0,0.005443028174340725,0.015502016991376877,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,24.0,,,,20.0,0.0,0.006458197720348835,0.011364048346877098,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,25.0,,,,20.0,0.0,0.008298701606690884,0.02241658791899681,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,26.0,,,,20.0,0.0,0.01076676044613123,0.037621114403009415,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,27.0,,,,20.0,0.0,0.02086787298321724,0.053405631333589554,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,28.0,,,,20.0,0.0,0.03069693222641945,0.034980855882167816,0.0,,,0.0,-1.0,0.0,0.0
HL,expert,29.0,,,,21.595640182495117,0.0,0.03860723599791527,0.034118250012397766,0.0,,,1.5956401824951172,-1.0,0.0,0.0
HL,expert,30.0,,,,27.074525356292725,0.0,0.05255618691444397,0.10724163800477982,0.0,,,5.478885173797607,-1.0,0.0,0.0
HL,expert,31.0,,,,31.772291660308838,0.0,0.06378336995840073,0.21542662382125854,0.0,,,4.697766304016113,-1.0,0.0,0.0
HL,expert,32.0,,,,35.8920693397522,0.0,0.07228264957666397,0.21461284160614014,0.0,,,4.119777679443359,-1.0,0.0,0.0
HL,expert,33.0,,,,42.964019775390625,0.0,0.08611005544662476,0.24831226468086243,0.0,,,7.071950435638428,-1.0,0.0,0.0
HL,expert,34.0,,,,51.65224552154541,0.0,0.1017683818936348,0.39954739809036255,0.0,,,8.688225746154785,-1.0,0.0,0.0
HL,expert,35.0,,,,64.26777362823486,0.0,0.12306347489356995,0.49894505739212036,0.0,,,12.615528106689453,-1.0,0.0,0.0
HL,expert,36.0,,,,78.98511409759521,0.0,0.14551755785942078,0.544024646282196,0.0,,,14.717340469360352,-1.0,0.0,0.0
HL,expert,37.0,,,,99.21357154846191,0.0,0.17451220750808716,0.5898752212524414,0.0,,,20.2284574508667,-1.0,0.0,0.0
HL,expert,38.0,,,,108.34969520568848,0.0,0.1955697238445282,0.8042829036712646,0.0,,,9.136123657226562,-1.0,0.0,0.0
HL,expert,39.0,,,,108.30840110778809,0.0,0.18585796654224396,0.936316967010498,0.0,,,-0.041294097900390625,-1.0,0.0,0.0
HL,expert,40.0,,,,108.28356742858887,0.0,0.1766132265329361,0.8751914501190186,0.0,,,-0.02483367919921875,-1.0,0.0,0.0
HL,expert,41.0,,,,108.25401306152344,0.0,0.167846217751503,0.875368595123291,0.0,,,-0.029554367065429688,-1.0,0.0,0.0
HL,expert,42.0,,,,108.23352813720703,0.0,0.15950560569763184,0.6824679374694824,0.0,,,-0.02048492431640625,-1.0,0.0,0.0
HL,expert,43.0,,,,108.20384979248047,0.0,0.1516171246767044,0.7196152806282043,0.0,,,-0.0296783447265625,-1.0,0.0,0.0
HL,expert,44.0,,,,108.18282127380371,0.0,0.14411191642284393,0.21823769807815552,0.0,,,-0.021028518676757812,-1.0,0.0,0.0
HL,expert,45.0,,,,108.1622314453125,0.0,0.13699963688850403,0.4724513292312622,0.0,,,-0.020589828491210938,-1.0,0.0,0.0
HL,expert,46.0,,,,108.17171096801758,0.0,0.127925306558609,0.21077318489551544,0.0,,,0.009479522705078125,-1.0,0.0,0.0
HL,expert,47.0,,,,108.16543579101562,0.0,0.12152384966611862,0.33250662684440613,0.0,,,-0.006275177001953125,-1.0,0.0,0.0
HL,expert,48.0,,,,108.1691837310791,0.0,0.11545911431312561,0.6241626739501953,0.0,,,0.0037479400634765625,-1.0,0.0,0.0
HL,expert,49.0,,,,108.20002555847168,0.0,0.10974244028329849,0.6098213195800781,0.0,,,0.030841827392578125,-1.0,0.0,0.0
HL,expert,50.0,,,,108.66278648376465,0.0,0.10506447404623032,0.5885910391807556,9.999999046325684,,,-149.53723013401031,-0.6000000238418579,9.999999403953552,9.999999403953552
HL,expert,51.0,,,,110.01852035522461,0.0,0.1021289974451065,0.47970932722091675,9.999999046325684,,,1.355733871459961,-1.0,0.0,0.0
HL,expert,52.0,,,,112.55277633666992,0.0,0.10114862769842148,0.3796992897987366,9.999999046325684,,,2.5342559814453125,-1.0,0.0,0.0
HL,expert,53.0,,,,114.96822357177734,0.0,0.09991978853940964,0.41919463872909546,9.999999046325684,,,2.415447235107422,-1.0,0.0,0.0
HL,expert,54.0,,,,118.58658790588379,0.0,0.1003696545958519,0.24456195533275604,9.999999046325684,,,3.6183643341064453,-1.0,0.0,0.0
HL,expert,55.0,,,,122.68099784851074,0.0,0.10127466917037964,0.2631431221961975,9.999999046325684,,,4.094409942626953,-1.0,0.0,0.0
HL,expert,56.0,,,,127.92738914489746,0.0,0.10340971499681473,0.4631068706512451,9.999999046325684,,,5.246391296386719,-1.0,0.0,0.0
HL,expert,57.0,,,,133.6978530883789,0.0,0.10581190139055252,0.46590372920036316,9.999999046325684,,,5.770463943481445,-1.0,0.0,0.0
HL,expert,58.0,,,,140.70149421691895,0.0,0.10922534763813019,0.41630300879478455,9.999999046325684,,,7.003641128540039,-1.0,0.0,0.0
HL,expert,59.0,,,,148.49604606628418,0.0,0.11292565613985062,0.3472675383090973,9.999999046325684,,,7.794551849365234,-1.0,0.0,0.0
HL,expert,60.0,,,,156.81815147399902,0.0,0.11661950498819351,0.44603681564331055,9.999999046325684,,,8.322105407714844,-1.0,0.0,0.0
HL,expert,61.0,,,,167.28933334350586,0.0,0.12181757390499115,0.5712848901748657,9.999999046325684,,,10.471181869506836,-1.0,0.0,0.0
HL,expert,62.0,,,,179.4763946533203,0.0,0.12777134776115417,0.5678346753120422,9.999999046325684,,,12.187061309814453,-1.0,0.0,0.0
