station,policy_name,train_year,train_year_label,seed,validation_years,validation_year_labels,num_observed_years,cross_validation_type,action_safety_enabled
HLA,HLA_train2007_seed0_action_safe,2007,observed_low_rain_year,0,"2011,2009","observed_mid_rain_year,observed_high_rain_year",3,three_year_leave_one,True
HLA,HLA_train2011_seed0_action_safe,2011,observed_mid_rain_year,0,"2007,2009","observed_low_rain_year,observed_high_rain_year",3,three_year_leave_one,True
HLA,HLA_train2009_seed0_action_safe,2009,observed_high_rain_year,0,"2007,2011","observed_low_rain_year,observed_mid_rain_year",3,three_year_leave_one,True
SYA,SYA_train2014_seed0_action_safe,2014,observed_low_rain_year,0,"2015,2012","observed_mid_rain_year,observed_high_rain_year",3,three_year_leave_one,True
SYA,SYA_train2015_seed0_action_safe,2015,observed_mid_rain_year,0,"2014,2012","observed_low_rain_year,observed_high_rain_year",3,three_year_leave_one,True
SYA,SYA_train2012_seed0_action_safe,2012,observed_high_rain_year,0,"2014,2015","observed_low_rain_year,observed_mid_rain_year",3,three_year_leave_one,True
LCA,LCA_train2010_seed0_action_safe,2010,observed_low_rain_year,0,"2011,2008,2009","observed_mid_rain_year,observed_intermediate_rain_year_3,observed_high_rain_year",4,four_year_leave_one,True
LCA,LCA_train2011_seed0_action_safe,2011,observed_mid_rain_year,0,"2010,2008,2009","observed_low_rain_year,observed_intermediate_rain_year_3,observed_high_rain_year",4,four_year_leave_one,True
LCA,LCA_train2008_seed0_action_safe,2008,observed_intermediate_rain_year_3,0,"2010,2011,2009","observed_low_rain_year,observed_mid_rain_year,observed_high_rain_year",4,four_year_leave_one,True
LCA,LCA_train2009_seed0_action_safe,2009,observed_high_rain_year,0,"2010,2011,2008","observed_low_rain_year,observed_mid_rain_year,observed_intermediate_rain_year_3",4,four_year_leave_one,True
